UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date
NA,spbk0000190,"Du Laurens, Henri-Joseph","Balai (le), poème héroï-comique en XVIII chants",NA,NA
NA,spbk0000191,"Huillier, Pierre [l']",Bannissement (le) des jésuites hors du royaume de France,NA,NA
NA,spbk0000192,"Guigoud-Pigale, Pierre","Baquet (le) magnetique, comédie, en vers et en deux actes. Par Mr. P.G.",1784,NA
NA,spbk0000193,"Beaumarchais, Pierre Augustin Caron [de]","Barbier (le) de Séville, ou La Précaution inutile",1775,NA
NA,spbk0000193,"Beaumarchais, Pierre Augustin Caron [de]","Barbier (le) de Séville, ou La Précaution inutile, comédie en 4 actes, par M. de Beaumarchais, représentée sur le théâtre de la Comédie-Française le 23 février 1775",1775,NA
NA,spbk0000194,"Luchet, Jean-Pierre-Louis de La Roche du Marin [marquis de]","Vicomte (le) de Barjac, ou mémoires pour servir à l'histoire de ce siècle, par M. C.... de L...., auteur des Liaisons dangereuses",1784,NA
NA,spbk0000195,"Arnaud, François-Thomas-Marie de Baculard [d']","Batilde, ou l'Héroïsme de l'amour, drame en 5 actes et en vers, par M. Dysembart de La Fossardrie",1775,NA
NA,spbk0000197,"Baumeister, Friedrich Christian",[Baumeister - unidentified work],NA,NA
NA,spbk0000198,"Marmontel, Jean-François",Belisaire,NA,NA
NA,spbk0000199,NA,[Belle (la) et la Bête],NA,NA
NA,spbk0000200,"Bret, Antoine","Belle (la) Allemande, ou les Galanteries de Thérèse",NA,NA
NA,spbk0000201,"Müller, Johannes [von]",Bellum Cimbricum descripsit Joannes Müller,1772,NA
NA,spbk0000202,"Meister, Leonhard",Beyträge zur Geschichte der teutschen Sprache,NA,NA
NA,spbk0000210,"Los-Rios, Jean-François [de]","Bibliographie instructive, ou Notice de quelques livres rares, singuliers & difficiles à trouver, avec des notes historiques, pour connoître & distinguer les différentes editions, & leur valeur dans le commerce; disposée par François de Los Rios, libraire à Lyon",1777,NA
NA,spbk0000215,"Vicat, Philippe Rodolphe","Bibliothèque médico-physique du Nord, ou Recueil périodique de ce qu'il y a d'essentiel, d'intéressant et de plus nouveau",1783-1784,NA
NA,spbk0000216,"Herbelot de Molainville, Barthélemy [d']",Bibliothèque orientale,1780,NA
NA,spbk0000219,NA,Bigarures (les) d'un citoyen de Genève et ses conseils républicains ...: Avec quantités d'Anecdotes amusantes ... et autres pour servir à terminer l`histoire des Jésuites,1776,NA
NA,spbk0000219,NA,[Bigarures (les) d'un citoyen de Genève],NA,NA
NA,spbk0000220,"Diderot, Denis",Bijoux (les) indiscrets,NA,NA
NA,spbk0000222,"Boerhaave, Herman","Hermanni Boerhaave ... Praelectiones academicae de morbis nervorum, quas ex auditorum manuscriptis collectas edi curavit Jacobus van Eems",1762,NA
NA,spbk0000222,"Boerhaave, Herman",Praelectiones academicae de morbis nervorum,NA,NA
NA,spbk0000223,"Boerhaave, Herman",Hermanni Boerhaave... Methodus studii medici emaculata et accessionibus locupletata ab Alberto ab Haller,NA,NA
NA,spbk0000225,Pomaret,"Bon (le) père, ou Le Chrétien protestant",1783,NA
NA,spbk0000226,"Holbach, Paul Henri Dietrich [d']","Bon-Sens (le), ou idées naturelles opposées aux idées surnaturelles",NA,NA
NA,spbk0000226,"Holbach, Paul Henri Dietrich [d']","Bon-sens (le), ou Idées naturelles opposées aux idées surnaturelles",1782,NA
NA,spbk0000227,"Helvétius, Claude-Adrien","Bonheur (le), poème en six chants. Avec des fragments de quelques épîtres, ouvrages posthumes de M. Helvétius",1773,NA
NA,spbk0000228,"Théveneau de Morande, Charles",Bon-homme (le) anglois,1783,NA
NA,spbk0000229,"Bonnet, Charles",[Oeuvres de Bonnet],1782,NA
NA,spbk0000229,"Bonnet, Charles",[Oeuvres de Bonnet],1782,NA
NA,spbk0000229,"Bonnet, Charles",[Oeuvres de Bonnet],NA,NA
NA,spbk0000229,"Bonnet, Charles",[Oeuvres de Bonnet],NA,NA
NA,spbk0000229,"Bonnet, Charles",[Oeuvres de Bonnet],NA,NA
NA,spbk0000230,"Mercier, Louis-Sébastien",Mon Bonnet de nuit,1784,NA
NA,spbk0000230,"Mercier, Louis-Sébastien",Mon Bonnet de nuit,1784,NA
NA,spbk0000230,"Mercier, Louis-Sébastien",[Mon Bonnet de nuit],NA,NA
NA,spbk0000233,"Bonnet, Charles",Essai de psychologie,1782,NA
NA,spbk0000236,NA,[Bonnetre],NA,NA
NA,spbk0000237,"Boškovic, Ruder Josip","Journal d'un voyage de Constantinople en Pologne, fait à la suite de Son Excellence Mr Jaq. Porter, ambassadeur d'Angleterre, par le R. P. Joseph Boscowich... en 1762",1772,NA
NA,spbk0000238,NA,"Boulevard (le) des Chartreux, poeme chrétien",1779,NA
NA,spbk0000239,Bourboulon,"Réponse du sieur Bourboulon... au Compte rendu au roi par M. Necker, directeur général des finances",1781,NA
NA,spbk0000240,"Le Clerc, Nicolas-Gabriel",Boussole (la) morale et politique des hommes et des empires,1780,NA
NA,spbk0000241,"Boutrolle, J. G.","Parfait (le) Bouvier, ou Instruction concernant la connoissance des boeufs et vaches... On y a joint deux Petits Traités pour les moutons et porcs... (et une Dissertation sur la maladie des chevaux qu'on nomme la morve). Par M. J.-G. Boutrolle",1766,NA
NA,spbk0000242,"Basedow, Johann Bernhard",Anmerkungen über das Basedowische Elementarwerk,1772,NA
NA,spbk0000243,Clément XIV,Bref du pape Clément XIV portant supression de la ci-devant Compagnie de Jésus,1773,NA
NA,spbk0000245,"La Roche, Georg Michael Frank [von]",Briefe über das mönchswesen,NA,NA
NA,spbk0000246,"Goudar, Ange",Brigandage (le) de la musique italienne,1778,NA
NA,spbk0000249,NA,"Brunus redivivus, ou traité des erreurs populaires, ouvrage critique, historique, et philosophique imité de Pomponace",NA,NA
NA,spbk0000251,"Burlamaqui, Jean-Jacques",Principes du droit naturel et politique,NA,NA
NA,spbk0000251,"Burlamaqui, Jean-Jacques",Principes de droit naturel,1762,NA
NA,spbk0000252,"Rutledge, Jean Jacques [chevalier]","Bureau (le) d'esprit, comedie en cinq actes et en prose",1777,NA
NA,spbk0000253,NA,[Corpus juris civilis],NA,NA
NA,spbk0000254,NA,Cabinet (le) d'amour et de Vénus,NA,NA
NA,spbk0000255,NA,"Cabinet (le) de Lampsaque, ou choix d'épigrammes érotiques des plus célèbres poètes français",NA,NA
NA,spbk0000256,"Mayer, Charles Joseph","Cabinet (le) des fées: ou collection choisie des contes des fées, et autres contes merveilleux",1785-1789,NA
NA,spbk0000257,"Linguet, Simon-Nicolas-Henri","Cacomonade (la), histoire politique et morale, traduite de l'allemand du docteur Pangloss, par le docteur lui-même, depuis son retour de Constantinople",NA,NA
NA,spbk0000258,"Pellissery, Roch-Antoine [de]","Café (le) politique d'Amsterdam, ou entretiens familiers d'un français, d'un anglais, d'un hollandois et d'un cosmopolite, sur divers intérêts économiques et politiques de France, de l'Espagne et d'Angleterre, par Charles-Elie, Denis Roonptsij",1778,NA
NA,spbk0000259,"Brissot de Warville, Jacques-Pierre","Café (le) politique de Londres, ou Pasquin dans la loge des Anti-Gallicans à Londres",1780,NA
